,betweenness,closeness,degree,eigenvector
0,2.3324224033e-05,0.647969052224,0.45671641791,0.00617098397433
1,0.000147347025918,0.92032967033,0.913432835821,0.049510577019
2,0.000228869621475,0.961262553802,0.959701492537,0.041403289972
3,0.000278172059059,0.979532163743,0.979104477612,0.0450404473369
4,0.000226291293251,0.959885386819,0.958208955224,0.0371582447856
5,0.000108563073368,0.835411471322,0.802985074627,0.019537867966
6,0.00023580969624,0.958512160229,0.95671641791,0.0503917198134
7,0.000272134030645,0.980966325037,0.980597014925,0.056800890849
8,0.000201378738978,0.935754189944,0.931343283582,0.0318938595189
9,0.000132258049608,0.894526034713,0.882089552239,0.0269659966616
10,9.2161426301e-05,0.838548185232,0.807462686567,0.0136832869967
11,0.00013676011005,0.864516129032,0.84328358209,0.0121729561181
12,0.000215297307084,0.944992947814,0.941791044776,0.0398474342234
13,4.34205641089e-05,0.723542116631,0.617910447761,0.0132827306691
14,0.000337978468354,1.0,1.0,0.0587108045376
15,8.37034674567e-05,0.848101265823,0.820895522388,0.0234135702222
16,0.000290836325547,0.989660265879,0.989552238806,0.0438439046404
17,7.28333259102e-05,0.827160493827,0.791044776119,0.0211440812311
18,0.000307227373259,0.992592592593,0.992537313433,0.0574944203663
19,0.000259004444288,0.973837209302,0.973134328358,0.0441926425541
20,0.000266653099225,0.97667638484,0.976119402985,0.0514286148381
21,0.000286399496233,0.988200589971,0.988059701493,0.0552429848418
22,0.000328562005519,0.998509687034,0.998507462687,0.0567182703532
23,6.15894155537e-05,0.842767295597,0.813432835821,0.0380056485347
24,5.17129092865e-05,0.799522673031,0.749253731343,0.0202545526513
25,0.000253815610022,0.97667638484,0.976119402985,0.0493383354033
26,9.94607495321e-05,0.863402061856,0.841791044776,0.0295481603539
27,0.000121764368789,0.850253807107,0.823880597015,0.0189441159522
28,4.38942882877e-05,0.703781512605,0.579104477612,0.0109706014124
29,0.000337978468354,1.0,1.0,0.0531969054566
30,0.000230032591936,0.953058321479,0.950746268657,0.0394537193299
31,8.15998628481e-05,0.84917617237,0.822388059701,0.0482519688609
32,0.000193888246009,0.915300546448,0.907462686567,0.0185488232096
33,0.000275075078129,0.980966325037,0.980597014925,0.0454489327591
34,3.2691936724e-05,0.655577299413,0.474626865672,0.00534653222506
35,0.000227012724138,0.961262553802,0.959701492537,0.0407984054204
36,0.000111852727188,0.878112712975,0.861194029851,0.0217814800661
37,0.000204860097242,0.942334739803,0.938805970149,0.035881384443
38,0.000142556192331,0.902964959569,0.892537313433,0.0368882494118
39,7.0036331286e-05,0.809178743961,0.764179104478,0.0248654095325
40,0.000283611998017,0.979532163743,0.979104477612,0.0336214013857
41,0.000197242688225,0.957142857143,0.955223880597,0.0547588659012
42,0.000289218607775,0.978102189781,0.977611940299,0.034421590814
43,5.21197111494e-05,0.803357314149,0.755223880597,0.023522554273
44,3.69721526876e-05,0.694300518135,0.559701492537,0.00767298187731
45,8.0152686459e-05,0.766590389016,0.69552238806,0.0131398466191
46,9.44709430351e-05,0.885072655218,0.870149253731,0.0481698006852
47,0.000306704554013,0.989660265879,0.989552238806,0.0367931462097
48,0.000218755719025,0.93837535014,0.934328358209,0.0247544816453
49,9.14406737282e-05,0.885072655218,0.870149253731,0.0523778986244
50,2.96561283203e-05,0.669330669331,0.505970149254,0.00681060340633
